product_page_url,title,category,price,rating,availability,available_count,upc,description,image_url
https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,The Long Shadow of Small Ghosts: Murder and Memory in an American City,Crime,10.97,1,In stock,0,abeafe151a587d3b,"In Cold Blood meets Adrian Nicole LeBlanc’s Random Family: A harrowing, profoundly personal investigation of the causes, effects, and communal toll of a deeply troubling crime—the brutal murder of three young children by their parents in the border city of Brownsville, Texas.On March 11, 2003, in Brownsville, Texas—one of America’s poorest cities—John Allen Rubio and Angel In Cold Blood meets Adrian Nicole LeBlanc’s Random Family: A harrowing, profoundly personal investigation of the causes, effects, and communal toll of a deeply troubling crime—the brutal murder of three young children by their parents in the border city of Brownsville, Texas.On March 11, 2003, in Brownsville, Texas—one of America’s poorest cities—John Allen Rubio and Angela Camacho murdered their three young children. The apartment building in which the brutal crimes took place was already rundown, and in their aftermath a consensus developed in the community that it should be destroyed. It was a place, neighbors felt, that was plagued by spiritual cancer. In 2008, journalist Laura Tillman covered the story for The Brownsville Herald. The questions it raised haunted her, particularly one asked by the sole member of the city’s Heritage Council to oppose demolition: is there any such thing as an evil building? Her investigation took her far beyond that question, revealing the nature of the toll that the crime exacted on a city already wracked with poverty. It sprawled into a six-year inquiry into the larger significance of such acts, ones so difficult to imagine or explain that their perpetrators are often…",https://books.toscrape.com/media/cache/2b/50/2b50fa031b2411a94bc68de0bbdd96fb.jpg
https://books.toscrape.com/catalogue/blue-like-jazz-nonreligious-thoughts-on-christian-spirituality_461/index.html,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Christian,25.77,1,In stock,0,a322361a37a78d3d,"""I never liked jazz music because jazz music doesn't resolve. I used to not like God because God didn't resolve. But that was before any of this happened."" ―Donald MillerIn Donald Miller's early years, he was vaguely familiar with a distant God. But when he came to know Jesus Christ, he pursued the Christian life with great zeal. Within a few years he had a successful mini ""I never liked jazz music because jazz music doesn't resolve. I used to not like God because God didn't resolve. But that was before any of this happened."" ―Donald MillerIn Donald Miller's early years, he was vaguely familiar with a distant God. But when he came to know Jesus Christ, he pursued the Christian life with great zeal. Within a few years he had a successful ministry that ultimately left him feeling empty, burned out, and, once again, far away from God. In this intimate, soul-searching account, Miller describes his remarkable journey back to a culturally relevant, infinitely loving God.For anyone wondering if the Christian faith is still relevant in a postmodern culture.For anyone thirsting for a genuine encounter with a God who is real.For anyone yearning for a renewed sense of passion in life.Blue Like Jazz is a fresh and original perspective on life, love, and redemption.",https://books.toscrape.com/media/cache/98/4a/984ab50781e05461a753923eaba33e58.jpg
https://books.toscrape.com/catalogue/crazy-love-overwhelmed-by-a-relentless-god_682/index.html,Crazy Love: Overwhelmed by a Relentless God,Christian,47.72,2,In stock,0,4b9d9cfe0f435788,"Have you ever wondered if we're missing it? It's crazy, if you think about it. The God of the universe—the Creator of nitrogen and pine needles, galaxies and E-minor—loves us with a radical, unconditional, self-sacrificing love. And what is our typical response? We go to church, sing songs, and try not to cuss. Whether you've verbalized it yet or not, we all know something Have you ever wondered if we're missing it? It's crazy, if you think about it. The God of the universe—the Creator of nitrogen and pine needles, galaxies and E-minor—loves us with a radical, unconditional, self-sacrificing love. And what is our typical response? We go to church, sing songs, and try not to cuss. Whether you've verbalized it yet or not, we all know something's wrong. Does something deep inside your heart long to break free from the status quo? Are you hungry for an authentic faith that addresses the problems of our world with tangible, even radical, solutions? God is calling you to a passionate love relationship with Himself. Because the answer to religious complacency isn't working harder at a list of do's and don'ts-it's falling in love with God. And once you encounter His love, as Francis describes it, you will never be the same. Because when you're wildly in love with someone, it changes everything. Learn more about Crazy Love at www.crazylovebook.com",https://books.toscrape.com/media/cache/5d/34/5d344393618369df3f560e018b1d9853.jpg
https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,(Un)Qualified: How God Uses Broken People to Do Big Things,Christian,54.0,5,In stock,0,e4ac92d89b946781,"Who You Think You Are is Not as Important as Who God Says You AreMany of us wrestle with the gap between our weaknesses and our dreams, between who we are and who God says we are meant to be. We feel unqualified to do God’s work or to live out the calling we imagine. But God has a way of using our weaknesses for good. In fact, God loves unqualified people.In (Un)Qualified, Pastor Steven Furtick helps you peel back the assumptions you’ve made about yourself and see yourself as God sees you. Because true peace and confidence come not from worldly perfection but from acceptance: God’s acceptance of you, your acceptance of yourself, and your acceptance of God’s process of change.This is a book about understanding your identity in light of who God is. It’s a book about coming to terms with the good, the bad, and the unmentionable in your life and learning to let God use you. It’s about charging into the gap between your present and your hopes and meeting God there. After all, God can’t bless who you pretend to be. But he longs to bless who you really are; a flawed and broken person. Good thing for us that God is in the business of using broken people to do big things. Being Unqualified Is God’s Favorite QualificationOur culture tells us that the answer to our failures is to fix them. The solution to our weaknesses is to hide them. The secret to our success is to appear as flawless as possible. But God’s qualifying system is different than the world’s. So is his view of our weaknesses, our purpose, and our true selves.In (Un)Qualified, Steven Furtick explores who God is as the…",https://books.toscrape.com/media/cache/e4/f8/e4f8c1c5954e09cb6c485d9db824eeb1.jpg
https://books.toscrape.com/catalogue/the-girl-you-left-behind-the-girl-you-left-behind-1_443/index.html,The Girl You Left Behind (The Girl You Left Behind #1),Historical,15.79,1,In stock,0,eb7459e0c570251d,"What happened to the girl you left behind?In 1916, French artist Edouard Lefevre leaves his wife Sophie to fight at the Front. When her town falls into German hands, his portrait of Sophie stirs the heart of the local Kommandant and causes her to risk everything - her family, reputation and life—in the hope of seeing her true love one last time.Nearly a century later and S What happened to the girl you left behind?In 1916, French artist Edouard Lefevre leaves his wife Sophie to fight at the Front. When her town falls into German hands, his portrait of Sophie stirs the heart of the local Kommandant and causes her to risk everything - her family, reputation and life—in the hope of seeing her true love one last time.Nearly a century later and Sophie's portrait is given to Liv by her young husband shortly before his sudden death. Its beauty speaks of their short life together, but when the painting's dark and passion-torn history is revealed, Liv discovers that the first spark of love she has felt since she lost him is threatened...In The Girl You Left Behind two young women, separated by a century, are united in their determination to fight for the thing they love most—whatever the cost.",https://books.toscrape.com/media/cache/6d/72/6d72120f94d38e356612c8a78e82a53d.jpg
https://books.toscrape.com/catalogue/suzie-snowflake-one-beautiful-flake-a-self-esteem-story_568/index.html,Suzie Snowflake: One beautiful flake (a self-esteem story),Novels,54.81,5,In stock,0,0e095ed785af7e43,"Follow Suzie on a magical journey of discovering her true self worth within.A beautifully illustrated self-esteem story for all ages!Suzie Snowflake struggles with what she sees as ""flaws"" and ""imperfections"" in her beautiful design. ""How can I notice my outer is bright, when there are parts of myself I don't really like?""Through the love and wisdom of her parents, Suzie d Follow Suzie on a magical journey of discovering her true self worth within.A beautifully illustrated self-esteem story for all ages!Suzie Snowflake struggles with what she sees as ""flaws"" and ""imperfections"" in her beautiful design. ""How can I notice my outer is bright, when there are parts of myself I don't really like?""Through the love and wisdom of her parents, Suzie discovers her true inner beauty and light. ""It's who you are inside that counts, your inner light that shines through, and who you are outside is wondrous too.""""Look at your art, look at your design, six magical sides, created one of a kind!""""Suzie dear, we love you for you. Each and every single part of you too!""A wonderful affirmation of the importance of self-love and uniqueness; nurturing to every child. Coupled with 36 uplifting, awe-inspiring illustrations!Crystaline Rose is a teacher and children’s book author. She has read her books to thousands of children in classrooms and book readings. They are met with ‘Aha’ moments, appreciation and excitement. “The illustrations are magical and the story has meaning!” ""It's my favorite book ever!"" Parents share that their children are asking for “the rainbow book!” and look forward to…",https://books.toscrape.com/media/cache/59/13/5913f74507084d0cd47e2b73fd806f9e.jpg
https://books.toscrape.com/catalogue/all-the-light-we-cannot-see_660/index.html,All the Light We Cannot See,Historical,29.87,5,In stock,0,39861fc1c0845d15,"WINNER OF THE PULITZER PRIZEFrom the highly acclaimed, multiple award-winning Anthony Doerr, the beautiful, stunningly ambitious instant New York Times bestseller about a blind French girl and a German boy whose paths collide in occupied France as both try to survive the devastation of World War II.Marie-Laure lives with her father in Paris near the Museum of Natural Histo WINNER OF THE PULITZER PRIZEFrom the highly acclaimed, multiple award-winning Anthony Doerr, the beautiful, stunningly ambitious instant New York Times bestseller about a blind French girl and a German boy whose paths collide in occupied France as both try to survive the devastation of World War II.Marie-Laure lives with her father in Paris near the Museum of Natural History, where he works as the master of its thousands of locks. When she is six, Marie-Laure goes blind and her father builds a perfect miniature of their neighborhood so she can memorize it by touch and navigate her way home. When she is twelve, the Nazis occupy Paris and father and daughter flee to the walled citadel of Saint-Malo, where Marie-Laure’s reclusive great-uncle lives in a tall house by the sea. With them they carry what might be the museum’s most valuable and dangerous jewel.In a mining town in Germany, the orphan Werner grows up with his younger sister, enchanted by a crude radio they find. Werner becomes an expert at building and fixing these crucial new instruments, a talent that wins him a place at a brutal academy for Hitler Youth, then a special assignment to track the resistance. More and more aware of the human cost of…",https://books.toscrape.com/media/cache/a6/96/a696c1d6bb1ff8f65f51a116160b2aef.jpg
https://books.toscrape.com/catalogue/how-to-stop-worrying-and-start-living_431/index.html,How to Stop Worrying and Start Living,Self Help,46.49,5,In stock,0,e792c0969cefe1b8,"Learn how to break the worry habit -- Now and forever! With Dale Carnegie's timeless advice in hand, more than six million people have learned how to eliminate debilitating fear and worry from their lives and to embrace a worry-free future. In this classic work, How to Stop Worrying and Start Living, Carnegie offers a set of practical formulas that you can put to work tod Learn how to break the worry habit -- Now and forever! With Dale Carnegie's timeless advice in hand, more than six million people have learned how to eliminate debilitating fear and worry from their lives and to embrace a worry-free future. In this classic work, How to Stop Worrying and Start Living, Carnegie offers a set of practical formulas that you can put to work today. It is a book packed with lessons that will last a lifetime and make that lifetime happier! DISCOVER HOW TO: Eliminate fifty percent of business worries immediatelyReduce financial worriesAvoid fatigue -- and keep looking youngAdd one hour a day to your waking lifeFind yourself and be yourself -- remember there is no one else on earth like you! Fascinating to read and easy to apply, How to Stop Worrying and Start Living deals with fundamental emotions and life-changing ideas. There's no need to live with worry and anxiety that keep you from enjoying a full, active life!",https://books.toscrape.com/media/cache/64/0c/640cfc86cd3943cef402dc6082497eec.jpg
https://books.toscrape.com/catalogue/logan-kade-fallen-crest-high-55_384/index.html,Logan Kade (Fallen Crest High #5.5),Academic,13.12,2,In stock,0,7093cf549cd2e7de,"People think that just because they know my name, my reputation, and my family that they know me. They don't.They say I’m a manwhore, but who wouldn’t be with my face and body? They say I’m a partier, and that's not going to change. They say I'm a fighter, and hell yes I am. F*ck with mine, and I’ll f*ck you back ten times worse.So, yes. Maybe what they say is true, but th People think that just because they know my name, my reputation, and my family that they know me. They don't.They say I’m a manwhore, but who wouldn’t be with my face and body? They say I’m a partier, and that's not going to change. They say I'm a fighter, and hell yes I am. F*ck with mine, and I’ll f*ck you back ten times worse.So, yes. Maybe what they say is true, but that’s not all of me.I'm loyal to a damned fault. If you earn it, I'll never leave your side. And when I love, I love hard, but there's another side to me where it's dark and painful. That side's been kept hidden, until her. Taylor saw inside of me, and the second she was there, she owned me.People think they know me……but only she can see me.",https://books.toscrape.com/media/cache/2b/44/2b4404e00c242bf1b8263bdd99c07354.jpg
https://books.toscrape.com/catalogue/a-new-earth-awakening-to-your-lifes-purpose_311/index.html,A New Earth: Awakening to Your Life's Purpose,Spirituality,55.65,5,In stock,0,f6ae39568db1130e,"The highly anticipated follow-up to the 2,000,000 copy bestselling inspirational book, ""The Power of Now"" With his bestselling spiritual guide ""The Power of Now,"" Eckhart Tolle inspired millions of readers to discover the freedom and joy of a life lived ?in the now.? In ""A New Earth,"" Tolle expands on these powerful ideas to show how transcending our ego-based state of co The highly anticipated follow-up to the 2,000,000 copy bestselling inspirational book, ""The Power of Now"" With his bestselling spiritual guide ""The Power of Now,"" Eckhart Tolle inspired millions of readers to discover the freedom and joy of a life lived ?in the now.? In ""A New Earth,"" Tolle expands on these powerful ideas to show how transcending our ego-based state of consciousness is not only essential to personal happiness, but also the key to ending conflict and suffering throughout the world. Tolle describes how our attachment to the ego creates the dysfunction that leads to anger, jealousy, and unhappiness, and shows readers how to awaken to a new state of consciousness and follow the path to a truly fulfilling existence. ""The Power of Now"" was a question-and-answer handbook. ""A New Earth"" has been written as a traditional narrative, offering anecdotes and philosophies in a way that is accessible to all. Illuminating, enlightening, and uplifting, ""A New Earth"" is a profoundly spiritual manifesto for a better way of life?and for building a better world.",https://books.toscrape.com/media/cache/13/1b/131bca3895aa2892f400020cd939cd42.jpg
